         647060 function calls (643877 primitive calls) in 1.693 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11988    0.010    0.000    0.014    0.000 {method 'format' of 'str' objects}
    21120    0.006    0.000    0.014    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:541(asanyarray)
       78    0.001    0.000    0.014    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/model.py:60(__init__)
       24    0.000    0.000    0.013    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:7697(quantile)
     8675    0.012    0.000    0.013    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:48(_count_reduce_items)
        6    0.000    0.000    0.013    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:109(_estimate_friedrich_coefficients)
44326/44167    0.008    0.000    0.013    0.000 {built-in method builtins.getattr}
       78    0.000    0.000    0.013    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/model.py:86(_handle_data)
       78    0.000    0.000    0.013    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/data.py:624(handle_data)
      147    0.004    0.000    0.012    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:2245(cov)
       24    0.000    0.000    0.012    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:405(quantile)
     2981    0.003    0.000    0.012    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/base.py:75(is_dtype)
      489    0.012    0.000    0.012    0.000 {built-in method numpy.dot}
       78    0.000    0.000    0.012    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/data.py:57(__init__)
      319    0.001    0.000    0.012    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:38(_ensure_data)
      308    0.001    0.000    0.012    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:187(_get_hashtable_algo)
        6    0.000    0.000    0.012    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:80(_get_length_sequences_where)
        6    0.011    0.002    0.012    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:105(<listcomp>)
     3921    0.001    0.000    0.011    0.000 {method 'max' of 'numpy.ndarray' objects}
     3846    0.001    0.000    0.011    0.000 {method 'min' of 'numpy.ndarray' objects}
      329    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.011    0.011 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/extraction.py:173(generate_data_chunk_format)
      329    0.011    0.000    0.011    0.000 {built-in method posix.stat}
     7536    0.004    0.000    0.011    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/arrays/integer.py:80(construct_from_string)
       78    0.001    0.000    0.010    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/data.py:117(_handle_constant)
      687    0.001    0.000    0.010    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1431(needs_i8_conversion)
     2114    0.003    0.000    0.010    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:41(_wrapit)
      523    0.002    0.000    0.010    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:3014(mean)
     3921    0.001    0.000    0.010    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:26(_amax)
     3846    0.001    0.000    0.010    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:30(_amin)
     1618    0.001    0.000    0.009    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:434(is_datetime64tz_dtype)
       24    0.000    0.000    0.009    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:1436(quantile)
     3674    0.004    0.000    0.009    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1845(_is_dtype_type)
      932    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
      148    0.001    0.000    0.009    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:3250(var)
      150    0.001    0.000    0.008    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:522(argsreduce)
       84    0.000    0.000    0.008    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:151(_ptp)
       96    0.001    0.000    0.008    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/series.py:152(__init__)
        3    0.000    0.000    0.007    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1258(ar_coefficient)
      519    0.002    0.000    0.007    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/utilities/string_manipulation.py:47(convert_to_output_format)
       75    0.000    0.000    0.007    0.000 {method 'ptp' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.007    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:829(percentage_of_reoccurring_values_to_all_values)
      743    0.002    0.000    0.007    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
    13299    0.005    0.000    0.007    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/generic.py:7(_check)
        3    0.000    0.000    0.007    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1758(max_langevin_fixed_point)
     6119    0.001    0.000    0.007    0.000 {built-in method builtins.min}
        3    0.000    0.000    0.007    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1717(friedrich_coefficients)
       24    0.000    0.000    0.007    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/series.py:1497(to_frame)
      306    0.001    0.000    0.007    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/reshape/tile.py:384(_coerce_to_type)
       75    0.002    0.000    0.007    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/linalg/linalg.py:1755(matrix_rank)
     1310    0.004    0.000    0.006    0.000 {pandas._libs.lib.is_scalar}
        3    0.000    0.000    0.006    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/ar_model.py:452(fit)
      160    0.000    0.000    0.006    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3080(make_block)
       25    0.000    0.000    0.006    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:106(init_ndarray)
      147    0.001    0.000    0.006    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:294(average)
        3    0.000    0.000    0.006    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:697(longest_strike_above_mean)
    14893    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
     4509    0.006    0.000    0.006    0.000 {built-in method numpy.zeros}
